id;task;action;hour;minute;second;millisecond
25;securicast_notification;start web bluetooth;13;8;26;829
25;securicast_notification;connecting;13;8;30;410
25;securicast_notification;getting service;13;8;31;399
25;securicast_notification;getting characteristic;13;8;34;696
25;securicast_notification;writing characteristic;13;8;34;704
25;securicast_notification;handling response;13;8;40;782
25;securicast;user credentials;13;10;19;142
25;securicast;sign in;13;10;23;93
25;securicast;start web bluetooth;13;10;26;571
25;securicast;connecting;13;10;29;850
25;securicast;getting service;13;10;30;469
25;securicast;getting characteristic;13;10;33;904
25;securicast;writing characteristic;13;10;33;907
25;securicast;handling response;13;10;34;742
26;securicast;user credentials;16;22;11;129
26;securicast;sign in;16;22;13;0
26;securicast;start web bluetooth;16;22;33;305
26;securicast;connecting;16;22;45;190
26;securicast;getting service;16;22;45;668
26;securicast;getting characteristic;16;22;48;123
26;securicast;writing characteristic;16;22;48;130
26;securicast;handling response;16;22;49;243
26;securicast_notification;user credentials;16;26;14;337
26;securicast_notification;sign in;16;26;38;741
26;securicast_notification;start web bluetooth;16;26;48;704
26;securicast_notification;connecting;16;26;51;201
26;securicast_notification;getting service;16;26;51;785
26;securicast_notification;getting characteristic;16;26;55;85
26;securicast_notification;writing characteristic;16;26;55;88
26;securicast_notification;handling response;16;27;14;745
26;google;user credentials;16;30;42;422
26;google;sign in;16;30;43;924
26;google;totp;16;30;56;203
26;google;verify pin;16;30;58;233
27;user credentials;17;2;51;688
27;sign in;17;2;54;332
27;start web bluetooth;17;3;14;731
27;connecting;17;3;18;204
27;getting service;17;3;19;496
27;getting characteristic;17;3;22;779
27;writing characteristic;17;3;22;788
27;handling response;17;3;23;609
27;user credentials;17;6;10;161
27;sign in;17;6;15;177
27;totp;17;6;29;425
27;verify pin;17;6;32;933
27;user credentials;17;9;9;708
27;sign in;17;9;12;254
27;start web bluetooth;17;9;14;794
27;connecting;17;9;17;874
27;getting service;17;9;18;503
27;getting characteristic;17;9;21;866
27;writing characteristic;17;9;21;876
27;handling response;17;9;27;956
28;user credentials;17;20;44;647
28;sign in;17;20;54;610
28;start web bluetooth;17;21;12;161
28;connecting;17;21;16;279
28;getting service;17;21;16;770
28;getting characteristic;17;21;19;993
28;writing characteristic;17;21;19;998
28;handling response;17;21;26;848
28;user credentials;17;22;53;549
28;sign in;17;23;1;255
28;totp;17;23;18;431
28;verify pin;17;23;28;246
28;user credentials;17;25;33;175
28;sign in;17;25;37;223
28;user credentials;17;25;41;21
28;sign in;17;25;43;348
28;start web bluetooth;17;25;47;58
28;connecting;17;25;49;682
28;start web bluetooth;17;26;0;628
28;connecting;17;26;3;560
28;getting service;17;26;4;45
28;getting characteristic;17;26;7;267
28;writing characteristic;17;26;7;272
28;handling response;17;26;8;37
29;securicast_notification;user credentials;17;46;8;320
29;securicast_notification;sign in;17;46;12;645
29;securicast_notification;start web bluetooth;17;46;17;574
29;securicast_notification;connecting;17;46;21;105
29;securicast_notification;getting service;17;46;23;370
29;securicast_notification;getting characteristic;17;46;27;847
29;securicast_notification;writing characteristic;17;46;27;853
29;securicast_notification;handling response;17;46;34;497
29;securicast;user credentials;17;50;2;217
29;securicast;sign in;17;50;6;793
29;securicast;start web bluetooth;17;50;11;682
29;securicast;connecting;17;50;15;452
29;securicast;getting service;17;50;16;672
29;securicast;getting characteristic;17;50;20;804
29;securicast;writing characteristic;17;50;20;808
29;securicast;handling response;17;50;21;716
29;google;user credentials;17;53;46;745
29;google;sign in;17;53;49;3
29;google;totp;17;54;5;328
29;google;verify pin;17;54;10;165
